"title","musicentity","observationValue","startTime","startTimeType","duration","durationType"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Eb:maj7","212.49","http://w3id.org/polifonia/resource/ValueType/Second","0.799999999999983","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","A:min7","213.29","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","D:7","213.69","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","G:maj7","214.09","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Bb:7","214.49","http://w3id.org/polifonia/resource/ValueType/Second","0.39999999999997726","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Eb:maj7","214.89","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","F#:7","215.29","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","B:maj7","215.69","http://w3id.org/polifonia/resource/ValueType/Second","0.8000000000000114","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","F:min7","216.49","http://w3id.org/polifonia/resource/ValueType/Second","0.39999999999997726","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Bb:7","216.89","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Eb:maj7","217.29","http://w3id.org/polifonia/resource/ValueType/Second","0.8000000000000114","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","A:min7","218.09","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","D:7","218.49","http://w3id.org/polifonia/resource/ValueType/Second","0.4399999999999977","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","G:maj7","218.93","http://w3id.org/polifonia/resource/ValueType/Second","0.8799999999999955","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","C#:min7","219.81","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","F#:7","220.21","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","B:maj7","220.61","http://w3id.org/polifonia/resource/ValueType/Second","0.799999999999983","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","F:min7","221.41","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Bb:7","221.81","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Eb:maj7","222.21","http://w3id.org/polifonia/resource/ValueType/Second","0.799999999999983","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","C#:min7","223.01","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","F#:7","223.41","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","B:maj7","223.81","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","D:7","224.21","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","G:maj7","224.61","http://w3id.org/polifonia/resource/ValueType/Second","0.4199999999999875","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Bb:7","225.03","http://w3id.org/polifonia/resource/ValueType/Second","0.4199999999999875","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Eb:maj7","225.45","http://w3id.org/polifonia/resource/ValueType/Second","0.8400000000000034","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","A:min7","226.29","http://w3id.org/polifonia/resource/ValueType/Second","0.4099999999999966","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","D:7","226.7","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","G:maj7","227.1","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Bb:7","227.5","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Eb:maj7","227.9","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","F#:7","228.3","http://w3id.org/polifonia/resource/ValueType/Second","0.39999999999997726","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","B:maj7","228.7","http://w3id.org/polifonia/resource/ValueType/Second","0.8000000000000114","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","F:min7","229.5","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Bb:7","229.9","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Eb:maj7","230.3","http://w3id.org/polifonia/resource/ValueType/Second","0.799999999999983","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","A:min7","231.1","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","D:7","231.5","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","G:maj7","231.9","http://w3id.org/polifonia/resource/ValueType/Second","0.8100000000000023","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","C#:min7","232.71","http://w3id.org/polifonia/resource/ValueType/Second","0.4199999999999875","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","F#:7","233.13","http://w3id.org/polifonia/resource/ValueType/Second","0.4200000000000159","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","B:maj7","233.55","http://w3id.org/polifonia/resource/ValueType/Second","0.799999999999983","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","F:min7","234.35","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Bb:7","234.75","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Eb:maj7","235.15","http://w3id.org/polifonia/resource/ValueType/Second","0.799999999999983","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","C#:min7","235.95","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","F#:7","236.35","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","B:maj7","236.75","http://w3id.org/polifonia/resource/ValueType/Second","0.4099999999999966","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","D:7","237.16","http://w3id.org/polifonia/resource/ValueType/Second","0.4200000000000159","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","G:maj7","237.58","http://w3id.org/polifonia/resource/ValueType/Second","0.4099999999999966","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Bb:7","237.99","http://w3id.org/polifonia/resource/ValueType/Second","0.39999999999997726","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Eb:maj7","238.39","http://w3id.org/polifonia/resource/ValueType/Second","0.8000000000000114","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","A:min7","239.19","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","D:7","239.59","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","G:maj7","239.99","http://w3id.org/polifonia/resource/ValueType/Second","0.39999999999997726","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Bb:7","240.39","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Eb:maj7","240.79","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","F#:7","241.19","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","B:maj7","241.59","http://w3id.org/polifonia/resource/ValueType/Second","0.799999999999983","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","F:min7","242.39","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Bb:7","242.79","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Eb:maj7","243.19","http://w3id.org/polifonia/resource/ValueType/Second","0.8000000000000114","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","A:min7","243.99","http://w3id.org/polifonia/resource/ValueType/Second","0.4199999999999875","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","D:7","244.41","http://w3id.org/polifonia/resource/ValueType/Second","0.4200000000000159","http://w3id.org/polifonia/resource/ValueType/Second"
