"title","musicentity","observationValue","startTime","startTimeType","duration","durationType"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","0.23","http://w3id.org/polifonia/resource/ValueType/Second","1.11","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","1.34","http://w3id.org/polifonia/resource/ValueType/Second","1.09","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","2.43","http://w3id.org/polifonia/resource/ValueType/Second","1.0699999999999998","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","G:7","3","http://w3id.org/polifonia/resource/ValueType/Beat","1.0","http://w3id.org/polifonia/resource/ValueType/Beat"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D:7","3.5","http://w3id.org/polifonia/resource/ValueType/Second","1.0899999999999999","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","G:7","4.59","http://w3id.org/polifonia/resource/ValueType/Second","1.0600000000000005","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","G:7","5.65","http://w3id.org/polifonia/resource/ValueType/Second","1.0499999999999998","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","6.7","http://w3id.org/polifonia/resource/ValueType/Second","1.04","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","7.74","http://w3id.org/polifonia/resource/ValueType/Second","1.0399999999999991","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","E:min7","8.78","http://w3id.org/polifonia/resource/ValueType/Second","1.040000000000001","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","A:7","9.82","http://w3id.org/polifonia/resource/ValueType/Second","1.0399999999999991","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","10.86","http://w3id.org/polifonia/resource/ValueType/Second","1.0300000000000011","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","11.89","http://w3id.org/polifonia/resource/ValueType/Second","1.0399999999999991","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","12.93","http://w3id.org/polifonia/resource/ValueType/Second","1.0500000000000007","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","13.98","http://w3id.org/polifonia/resource/ValueType/Second","1.0399999999999991","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","15.02","http://w3id.org/polifonia/resource/ValueType/Second","1.0300000000000011","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D:7","16.05","http://w3id.org/polifonia/resource/ValueType/Second","1.0399999999999991","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","G:7","17.09","http://w3id.org/polifonia/resource/ValueType/Second","1.0100000000000016","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","G:7","18.1","http://w3id.org/polifonia/resource/ValueType/Second","1.0299999999999976","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","19.13","http://w3id.org/polifonia/resource/ValueType/Second","1.0300000000000011","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","20.16","http://w3id.org/polifonia/resource/ValueType/Second","1.0399999999999991","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","E:min7","21.2","http://w3id.org/polifonia/resource/ValueType/Second","1.0199999999999996","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","A:7","22.22","http://w3id.org/polifonia/resource/ValueType/Second","1.0","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","23.22","http://w3id.org/polifonia/resource/ValueType/Second","1.0400000000000027","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","24.26","http://w3id.org/polifonia/resource/ValueType/Second","1.0399999999999991","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","25.3","http://w3id.org/polifonia/resource/ValueType/Second","1.0500000000000007","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","26.35","http://w3id.org/polifonia/resource/ValueType/Second","1.0299999999999976","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","27.38","http://w3id.org/polifonia/resource/ValueType/Second","1.0400000000000027","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D:7","28.42","http://w3id.org/polifonia/resource/ValueType/Second","1.009999999999998","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","G:7","29.43","http://w3id.org/polifonia/resource/ValueType/Second","1.0399999999999991","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","G:7","30.47","http://w3id.org/polifonia/resource/ValueType/Second","1.0300000000000011","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","31.5","http://w3id.org/polifonia/resource/ValueType/Second","1.0","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","32.5","http://w3id.org/polifonia/resource/ValueType/Second","1.0300000000000011","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","E:min7","33.53","http://w3id.org/polifonia/resource/ValueType/Second","1.009999999999998","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","A:7","34.54","http://w3id.org/polifonia/resource/ValueType/Second","1.0","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","35.54","http://w3id.org/polifonia/resource/ValueType/Second","1.0300000000000011","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","36.57","http://w3id.org/polifonia/resource/ValueType/Second","1.0499999999999972","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","37.62","http://w3id.org/polifonia/resource/ValueType/Second","1.0399999999999991","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","38.66","http://w3id.org/polifonia/resource/ValueType/Second","1.0500000000000043","http://w3id.org/polifonia/resource/ValueType/Second"
"A Handful of Riffs","http://w3id.org/polifonia/resource/MusicEntity/ea34da12977980754cceb4255677d185d711c9ca","D","39.71","http://w3id.org/polifonia/resource/ValueType/Second","1.0600000000000023","http://w3id.org/polifonia/resource/ValueType/Second"
